# time,control output,box humidity,box temp,outside humidity,outside temp,heater 1 temp,heater 2 temp,P,I,D,SP,Err
6.980308461189270020e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,4.977000000000000313e+01,4.764999999999999858e+01,8.640000000000000568e+00,8.684844609731433296e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
7.098337912559509277e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,5.047999999999999687e+01,4.815999999999999659e+01,8.640000000000000568e+00,4.595131057063724794e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
7.216394829750061035e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,5.103000000000000114e+01,4.857999999999999829e+01,8.640000000000000568e+00,4.596200358347942577e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
7.333781075477600098e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,5.150999999999999801e+01,4.900000000000000000e+01,8.640000000000000568e+00,4.570089728899121018e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
7.709589767456054688e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,5.303000000000000114e+01,5.035000000000000142e+01,8.640000000000000568e+00,1.463101092122945646e-01,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
7.932814311981201172e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,5.415999999999999659e+01,5.118999999999999773e+01,8.640000000000000568e+00,8.690593960559943321e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
8.050972509384155273e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,5.474000000000000199e+01,5.184000000000000341e+01,8.640000000000000568e+00,4.600143406833494958e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
8.168224549293518066e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,5.521999999999999886e+01,5.213000000000000256e+01,8.640000000000000568e+00,4.564864818370595323e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
8.286281514167785645e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,5.553999999999999915e+01,5.213000000000000256e+01,8.640000000000000568e+00,4.596202214773782713e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
8.404282093048095703e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,5.614999999999999858e+01,5.292999999999999972e+01,8.640000000000000568e+00,4.594006991217207403e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
